epoch 68         Loss = 0.044    Acc = 0.421     MinLoss = 0.044         MaxAcc = 0.429
epoch 69         Loss = 0.045    Acc = 0.425     MinLoss = 0.044         MaxAcc = 0.429
epoch 70         Loss = 0.044    Acc = 0.428     MinLoss = 0.044         MaxAcc = 0.429
epoch 71         Loss = 0.044    Acc = 0.424     MinLoss = 0.044         MaxAcc = 0.429
epoch 72         Loss = 0.042    Acc = 0.428     MinLoss = 0.042         MaxAcc = 0.429
epoch 73         Loss = 0.042    Acc = 0.430     MinLoss = 0.042         MaxAcc = 0.430
epoch 74         Loss = 0.042    Acc = 0.428     MinLoss = 0.042         MaxAcc = 0.430
epoch 75         Loss = 0.042    Acc = 0.421     MinLoss = 0.042         MaxAcc = 0.430
epoch 76         Loss = 0.042    Acc = 0.424     MinLoss = 0.042         MaxAcc = 0.430
epoch 77         Loss = 0.042    Acc = 0.424     MinLoss = 0.042         MaxAcc = 0.430
epoch 78         Loss = 0.041    Acc = 0.430     MinLoss = 0.041         MaxAcc = 0.430
epoch 79         Loss = 0.041    Acc = 0.430     MinLoss = 0.041         MaxAcc = 0.430
epoch 80         Loss = 0.042    Acc = 0.422     MinLoss = 0.041         MaxAcc = 0.430
epoch 81         Loss = 0.041    Acc = 0.422     MinLoss = 0.041         MaxAcc = 0.430
epoch 82         Loss = 0.042    Acc = 0.426     MinLoss = 0.041         MaxAcc = 0.430
epoch 83         Loss = 0.041    Acc = 0.423     MinLoss = 0.041         MaxAcc = 0.430
epoch 84         Loss = 0.040    Acc = 0.428     MinLoss = 0.040         MaxAcc = 0.430
epoch 85         Loss = 0.041    Acc = 0.434     MinLoss = 0.040         MaxAcc = 0.434
epoch 86         Loss = 0.040    Acc = 0.426     MinLoss = 0.040         MaxAcc = 0.434
epoch 87         Loss = 0.039    Acc = 0.433     MinLoss = 0.039         MaxAcc = 0.434
epoch 88         Loss = 0.040    Acc = 0.426     MinLoss = 0.039         MaxAcc = 0.434
epoch 89         Loss = 0.040    Acc = 0.418     MinLoss = 0.039         MaxAcc = 0.434
epoch 90         Loss = 0.040    Acc = 0.424     MinLoss = 0.039         MaxAcc = 0.434
epoch 91         Loss = 0.040    Acc = 0.421     MinLoss = 0.039         MaxAcc = 0.434
epoch 92         Loss = 0.039    Acc = 0.433     MinLoss = 0.039         MaxAcc = 0.434
epoch 93         Loss = 0.039    Acc = 0.431     MinLoss = 0.039         MaxAcc = 0.434
epoch 94         Loss = 0.040    Acc = 0.424     MinLoss = 0.039         MaxAcc = 0.434
epoch 95         Loss = 0.039    Acc = 0.433     MinLoss = 0.039         MaxAcc = 0.434
epoch 96         Loss = 0.039    Acc = 0.432     MinLoss = 0.039         MaxAcc = 0.434
epoch 97         Loss = 0.038    Acc = 0.427     MinLoss = 0.038         MaxAcc = 0.434
epoch 98         Loss = 0.039    Acc = 0.434     MinLoss = 0.038         MaxAcc = 0.434
epoch 99         Loss = 0.038    Acc = 0.423     MinLoss = 0.038         MaxAcc = 0.434
epoch 100        Loss = 0.038    Acc = 0.431     MinLoss = 0.038         MaxAcc = 0.434
epoch 101        Loss = 0.038    Acc = 0.437     MinLoss = 0.038         MaxAcc = 0.437
