epoch 68         Loss = 0.028    Acc = 0.510     MinLoss = 0.027         MaxAcc = 0.516
epoch 69         Loss = 0.027    Acc = 0.516     MinLoss = 0.027         MaxAcc = 0.516
epoch 70         Loss = 0.026    Acc = 0.513     MinLoss = 0.026         MaxAcc = 0.516
epoch 71         Loss = 0.027    Acc = 0.514     MinLoss = 0.026         MaxAcc = 0.516
epoch 72         Loss = 0.027    Acc = 0.515     MinLoss = 0.026         MaxAcc = 0.516
epoch 73         Loss = 0.026    Acc = 0.514     MinLoss = 0.026         MaxAcc = 0.516
epoch 74         Loss = 0.026    Acc = 0.511     MinLoss = 0.026         MaxAcc = 0.516
epoch 75         Loss = 0.026    Acc = 0.520     MinLoss = 0.026         MaxAcc = 0.520
epoch 76         Loss = 0.026    Acc = 0.513     MinLoss = 0.026         MaxAcc = 0.520
epoch 77         Loss = 0.026    Acc = 0.518     MinLoss = 0.026         MaxAcc = 0.520
epoch 78         Loss = 0.026    Acc = 0.513     MinLoss = 0.026         MaxAcc = 0.520
epoch 79         Loss = 0.026    Acc = 0.516     MinLoss = 0.026         MaxAcc = 0.520
epoch 80         Loss = 0.025    Acc = 0.515     MinLoss = 0.025         MaxAcc = 0.520
epoch 81         Loss = 0.025    Acc = 0.517     MinLoss = 0.025         MaxAcc = 0.520
epoch 82         Loss = 0.025    Acc = 0.518     MinLoss = 0.025         MaxAcc = 0.520
epoch 83         Loss = 0.025    Acc = 0.516     MinLoss = 0.025         MaxAcc = 0.520
epoch 84         Loss = 0.024    Acc = 0.517     MinLoss = 0.024         MaxAcc = 0.520
epoch 85         Loss = 0.025    Acc = 0.515     MinLoss = 0.024         MaxAcc = 0.520
epoch 86         Loss = 0.025    Acc = 0.517     MinLoss = 0.024         MaxAcc = 0.520
epoch 87         Loss = 0.024    Acc = 0.518     MinLoss = 0.024         MaxAcc = 0.520
epoch 89         Loss = 0.024    Acc = 0.518     MinLoss = 0.024         MaxAcc = 0.520
epoch 90         Loss = 0.024    Acc = 0.517     MinLoss = 0.024         MaxAcc = 0.520
epoch 91         Loss = 0.024    Acc = 0.518     MinLoss = 0.024         MaxAcc = 0.520
epoch 92         Loss = 0.024    Acc = 0.520     MinLoss = 0.024         MaxAcc = 0.520
epoch 93         Loss = 0.024    Acc = 0.516     MinLoss = 0.024         MaxAcc = 0.520
epoch 94         Loss = 0.024    Acc = 0.522     MinLoss = 0.024         MaxAcc = 0.522
epoch 95         Loss = 0.023    Acc = 0.520     MinLoss = 0.023         MaxAcc = 0.522
epoch 96         Loss = 0.024    Acc = 0.519     MinLoss = 0.023         MaxAcc = 0.522
epoch 97         Loss = 0.023    Acc = 0.517     MinLoss = 0.023         MaxAcc = 0.522
epoch 98         Loss = 0.023    Acc = 0.520     MinLoss = 0.023         MaxAcc = 0.522
epoch 99         Loss = 0.023    Acc = 0.520     MinLoss = 0.023         MaxAcc = 0.522
